House,Deaths,Proximity,Longitude,Latitude
532,0,165.78,-0.139027286,51.51342317
533,0,162.79,-0.138986686,51.51338692
534,0,165.59,-0.139005533,51.51354643
535,0,160.74,-0.138928682,51.51357253
536,0,167.91,-0.139044692,51.51316507
537,0,165.91,-0.139006992,51.51312447
538,0,162.74,-0.138950442,51.51308532
539,0,154.97,-0.138872137,51.51327092
540,0,152.02,-0.138825737,51.51323467
541,0,150.18,-0.138792387,51.51319117
542,0,147.44,-0.138744538,51.51315202
543,0,169.5,-0.139040344,51.51305487
544,0,173.62,-0.139091095,51.51302442
545,0,178.03,-0.139147646,51.51299977
546,0,175.49,-0.139050498,51.51286201
547,0,185.85,-0.139172671,51.51279621
548,0,195.8,-0.139302401,51.51275695
549,0,188.92,-0.139285082,51.5129363
550,0,193.47,-0.139343214,51.51291279
551,0,197.41,-0.139395162,51.51289672
552,0,185.11,-0.139264053,51.51303772
553,0,187.29,-0.139306477,51.51307536
554,0,189.65,-0.139348916,51.51310932
555,0,195.29,-0.139409748,51.51302585
556,0,139.22,-0.138586416,51.51303434
557,0,138.43,-0.138555294,51.51299048
558,0,136.68,-0.138507197,51.51294804
559,0,135.18,-0.138460514,51.51290702
560,0,134.08,-0.138419489,51.51287024
561,0,132.95,-0.138382709,51.51284336
562,0,132.91,-0.138344514,51.51279526
563,0,157.99,-0.138835397,51.51296219
564,0,156.61,-0.138804275,51.51293956
565,0,155.37,-0.13876608,51.51290136
566,0,153.63,-0.138717983,51.51286316
567,0,151.54,-0.138623202,51.5127698
568,0,151.94,-0.138577935,51.51270472
569,0,150.01,-0.138504373,51.51265804
570,0,149.19,-0.138433642,51.51260145
571,0,149.92,-0.138371398,51.51253496
572,0,149.21,-0.138316227,51.51250101
573,0,149.38,-0.138268129,51.51246281
574,0,149.24,-0.138227105,51.51243593
575,0,131.97,-0.138256807,51.51271604
576,0,132.07,-0.138201636,51.51266228
577,0,132.08,-0.1381691,51.51263399
578,0,131.83,-0.138135148,51.51260994
579,0,133.42,-0.138085636,51.51255052
580,0,133.39,-0.138041782,51.51252082
581,0,150.9,-0.138137983,51.51235813
582,0,134.09,-0.137993685,51.5124812
583,0,135.95,-0.13795549,51.51243594
584,0,134.3,-0.137736219,51.51234681
585,0,129.85,-0.137702267,51.51238076
586,0,102.07,-0.137436307,51.51257033
587,0,184.92,-0.138405359,51.51209641
588,0,179.92,-0.138334625,51.51211763
589,0,171.79,-0.138225696,51.51215583
590,0,168.03,-0.138181841,51.51217705
591,0,163.47,-0.138122425,51.51219969
592,0,158.31,-0.138065838,51.51223081
593,0,152.12,-0.137985201,51.51226193
594,0,187.36,-0.138232772,51.51198183
595,0,188.88,-0.138187504,51.51194504
596,0,192.28,-0.138092723,51.51187007
597,0,195.95,-0.138043211,51.51181348
598,0,197.17,-0.138006431,51.51178802
599,0,199.19,-0.137944187,51.51174699
600,0,173.88,-0.137962572,51.51201436
601,0,175.2,-0.137908815,51.51198041
602,0,178.24,-0.137860718,51.51193231
603,0,160.97,-0.137869202,51.51211481
604,0,158.47,-0.137822518,51.51212329
605,0,153.96,-0.137787151,51.51215725
606,0,146.11,-0.137671148,51.51219686
607,0,138.86,-0.13757778,51.5122393
608,0,133.01,-0.137508461,51.51227608
609,0,150,-0.137255241,51.51204973
610,0,154.24,-0.137323145,51.51202285
611,0,159.24,-0.137381147,51.51198749
612,0,165.15,-0.137481589,51.51195353
613,0,171.92,-0.137580616,51.51191251
614,0,178.65,-0.137673984,51.51187148
615,0,205.53,-0.137891846,51.51166777
616,0,209.4,-0.137846578,51.51161684
617,0,212.42,-0.137785748,51.51157157
618,0,217,-0.13772209,51.51151216
619,0,220.82,-0.137662675,51.51146264
620,0,225.6,-0.137599017,51.51140464
621,0,230.83,-0.137533943,51.51134381
622,0,234.74,-0.137471699,51.51129713
623,0,238.32,-0.13742926,51.51125752
624,0,244.02,-0.137358529,51.51119527
625,0,249.41,-0.137287797,51.51113727
626,0,264.39,-0.137296287,51.51100146
627,0,275.6,-0.137212825,51.51089112
628,0,259.72,-0.137241115,51.51103824
629,0,269.66,-0.13714492,51.51093922
630,0,254.65,-0.13721848,51.5110821
631,0,258.19,-0.137153406,51.5110439
632,0,263.03,-0.137082674,51.51099439
633,0,267.12,-0.137044479,51.51095478
634,0,271.67,-0.136999211,51.51091092
635,0,276.2,-0.136969504,51.51086848
636,0,280.63,-0.136915747,51.51082604
637,0,220.81,-0.136665342,51.51135796
638,0,224.66,-0.136727588,51.51132401
639,0,229.59,-0.136806809,51.51128157
640,0,232.28,-0.136886031,51.51126035
641,0,237.63,-0.136945447,51.51121508
642,0,241.76,-0.13700062,51.51118112
643,0,249.53,-0.136912912,51.51110615
644,0,254.67,-0.136871888,51.51105805
645,0,259.81,-0.136819547,51.51100995
646,0,266.24,-0.13675023,51.51095053
647,0,300.62,-0.136846433,51.51064355
648,0,294.61,-0.136775699,51.51069589
649,0,307.56,-0.136798336,51.51057989
650,0,306.46,-0.136712041,51.51058838
651,0,298.8,-0.137174633,51.5106775
652,0,304,-0.137215659,51.51063365
653,0,294.03,-0.137126534,51.51071711
